구·군별,동수 (동),세대수 (세대),인구수,남자인구수 (명),여자인구수 (명),시전체 인구에 대한 구성비 (%),면적 (㎢),인구밀도 (명/㎢)
부산광역시,206,1495123,3472359,1707262,1765097,100,769.94,4510
해운대구,18,168247,411176,198486,212690,11.8,51.47,7989
부산진구,20,166539,361927,175238,186689,10.4,29.67,12198
사하구,16,138825,327365,163814,163551,9.4,41.77,7837
북구,13,119668,293714,145517,148197,8.5,39.37,7460
남구,17,117773,282281,138441,143840,8.1,26.81,10529
동래구,13,111625,271821,132444,139377,7.8,16.63,16345
금정구,17,106966,244786,119392,125394,7,65.28,3750
사상구,12,96868,225046,113914,111132,6.5,36.09,6236
연제구,12,90068,210565,101705,108860,6.1,12.1,17402
수영구,10,81332,178274,84599,93675,5.1,10.21,17461
기장군,5,68963,167190,83231,83959,4.8,218.3,766
강서구,8,52995,133825,70899,62926,3.9,181.49,737
영도구,11,54928,119244,59125,60119,3.4,14.2,8397
서구,13,52890,110821,54171,56650,3.2,13.98,7927
동구,12,44328,90111,44303,45808,2.6,9.74,9252
중구,9,23108,44213,21983,22230,1.3,2.83,15623
